,Acronym,Snomed_CT,Diagnostic_Snomed_CT,Details,Superclass_ID,Superclass,Motivo,Fonte,CPSC,Chapman-Shaoxing-Ningbo,CPSC-Extra,PTB,PTBxl,G12EC
,_AVB,233917008,Atrioventricular block,Atrioventricular block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,1AVB,270492004,First degree atrioventricular block,First degree atrioventricular block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",1,1,1,0,1,1
,2AVB,195042002,Second degree atrioventricular block,Second degree atrioventricular block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,2AVB1,54016002,Mobitz type I incomplete atrioventricular block,Mobitz type I incomplete atrioventricular block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,0,0,1
,2AVB2,28189009,Mobitz type II atrioventricular block,Mobitz type II atrioventricular block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,0,0,0,1
,3AVB,27885002,Complete atrioventricular block,Complete atrioventricular block (disorder),CD,Conduction Disturbance,"O código SNOMED descreve bloqueio, atraso ou via anômala de condução elétrica (atrioventricular, sinoatrial, fascicular, de ramo ou intraventricular); por isso a agregação em CD é clinicamente coerente para generalização em ECG/ML.","AHA/ACCF/HRS 2009 ECG standardization Part III: intraventricular conduction disturbances. https://pubmed.ncbi.nlm.nih.gov/19281930/ | 2018 ACC/AHA/HRS guideline for bradycardia and cardiac conduction delay. https://pubmed.ncbi.nlm.nih.gov/30412780/ | Wagner et al., 2020, PTB-XL: diagnostic labels aggregated into superclasses NORM, MI, STTC, CD, HYP. https://pmc.ncbi.nlm.nih.gov/articles/PMC7248071/",0,1,1,0,1,1
,ABI,251173003,Atrial bigeminy,Atrial bigeminy (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,1,0,0,0,1
,ABQRS,164951009,EKG: QRS complex abnormal,Electrocardiographic QRS complex abnormal (finding),FORM,Axis/Form/Voltage Abnormality,"O código SNOMED descreve morfologia, eixo, rotação, amplitude/voltagem ou forma de ondas/complexos no ECG sem definir isoladamente uma síndrome de condução, isquemia ou hipertrofia; por isso foi agrupado como anormalidade de forma/eixo/voltagem.","AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | AHA/ACCF/HRS 2009 ECG standardization Part IV: ST segment, T and U waves, QT interval. https://pubmed.ncbi.nlm.nih.gov/19281931/ | AHA/ACCF/HRS 2009 ECG standardization Part V: ECG changes associated with cardiac chamber hypertrophy. https://pubmed.ncbi.nlm.nih.gov/19281932/",0,0,0,0,1,1
,AFAFL,195080001,Atrial fibrillation and flutter,Atrial fibrillation and flutter (disorder),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,0,0,1,0,0,1
,AFIB,164889003,ECG: atrial fibrillation,Electrocardiographic atrial fibrillation (finding),RHYTHM,Rhythm/Arrhythmia,"O código SNOMED descreve alteração do ritmo cardíaco, origem do impulso, frequência ou ectopia; esses achados formam uma família clínica de arritmias adequada para uma camada diagnóstica agregada.",AHA/ACCF/HRS 2007 ECG standardization Part II: standardized ECG diagnostic statement list. https://pubmed.ncbi.nlm.nih.gov/17349897/ | 2023 ACC/AHA/ACCP/HRS guideline for diagnosis and management of atrial fibrillation. https://pubmed.ncbi.nlm.nih.gov/38033089/ | 2022 ESC Guidelines for ventricular arrhythmias and prevention of sudden cardiac death. https://pubmed.ncbi.nlm.nih.gov/36017572/,1,1,1,1,1,1
